gender,income,whatIsYourHeightExpressItAsANumberInMetresM,doYouFeelASenseOfPurposeAndMeaningInYourLife104,howDoYouReconcileSpiritualBeliefsWithScientificOrRationalThinki,howOftenDoYouFeelSociallyConnectedWithYourPeersAndFriends,doYouHaveASupportSystemOfFriendsAndFamilyToTurnToWhenNeeded,howOftenDoYouParticipateInSocialActivitiesIncludingClubsSportsV,doYouFeelComfortableEngagingInConversationsWithPeopleFromDiffer,doYouFeelASenseOfPurposeAndMeaningInYourLife105,alwaysStressed,alwaysAccountableAndResponsibleForYourActions,alwaysCalm,myBodyIsHypermobileAndLovesToMove,alwaysHaveFun,alwaysSerious,alwaysDepressed,alwaysLoveAndCareForYourself,extremelyGoodAbilityToSense,alwaysHaveDigestiveProblems,iAmIntenselyInterestedInOtherPeople,iRarelyWakeUpFeelingRested,iFindMostThingsAmusing,iAmAlwaysCommittedAndInvolved,iDoNotThinkThatTheWorldIsAGoodPlace,iAmWellSatisfiedAboutEverythingInMyLife,iFindBeautyInSomeThings,iAlwaysHaveACheerfulEffectOnOthers,iFeelThatIAmNotEspeciallyInControlOfMyLife,iUsuallyHaveAGoodInfluenceOnEvents,iDontHaveFunWithOtherPeople,alwaysEngageInPreparingAndUsingYourSkillsAndTalentsInOrderToGai,alwaysMakingProgress,extremelyGoodCommunicator,iDontFeelParticularlyPleasedWithTheWayIAm,iFeelThatLifeIsVeryRewarding,iHaveVeryWarmFeelingsTowardsAlmostEveryone,iAmNotParticularlyOptimisticAboutTheFuture,lifeIsGood,iLaughALot,iDontThinkILookAttractive,happiness
Male,200k above,170 - 175,Yes,They are separate,Sometimes,"Yes, I have both",More than three times a week,Always,Yes,-2,1,-2,-1,0,-2,-1,0,0,-1,-2,-2,2,1,0,-2,2,0,1,-2,0,1,0,-2,1,0,-2,2,1,1,-1,13.9887
Female,150k - 200k,150 - 155,Yes,They conflict,Rarely,No,More than three times a week,Always,Yes,-2,1,1,0,1,0,-1,0,0,1,-2,1,-2,0,0,0,1,0,1,-2,-2,-2,2,0,-2,1,0,-2,2,1,0,-2.12869
Female,10k - 15k,160 - 165,Yes,They complement each other,Never,No,At least once a month,Never,Yes,-2,1,1,0,2,-2,-2,2,2,1,1,-2,2,1,-1,2,1,2,-2,2,-2,1,0,2,-2,0,2,-2,2,2,0,7.05406
Female,0 - 10k,155 - 160,Yes,They are separate,Sometimes,"Yes, I have both",At least once a week,Sometimes,No,0,1,0,-2,1,1,-1,0,1,-1,1,-1,0,0,-2,1,1,1,-2,0,-2,0,1,0,0,0,2,-2,1,2,0,-16.902
Male,0 - 10k,160 - 165,Yes,They are separate,Rarely,"Yes, I have family",More than three times a week,Never,Yes,-1,1,1,-2,0,-2,-1,1,1,-1,0,1,0,0,-1,0,2,1,1,0,-2,2,1,-2,0,-2,1,1,0,1,1,-6.21064
Male,10k - 15k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have family",At least once a week,Sometimes,Yes,0,0,0,-2,-2,-2,-2,0,1,-2,1,0,0,-2,0,0,1,0,-2,-1,-1,0,1,0,1,1,0,0,0,1,-2,-19.1772
Male,0 - 10k,180 - 185,No,They complement each other,Sometimes,"Yes, I have family",Rarely,Sometimes,Yes,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,1,0,0,0,0,1,-1,0,1,0,0,-0.310245
Male,15k - 20k,180 - 185,Yes,They complement each other,Always,"Yes, I have both",More than three times a week,Rarely,Yes,-2,1,-2,0,1,-1,-1,0,1,-1,-1,0,0,-1,1,0,2,-1,0,0,1,0,1,-2,-2,0,-2,1,1,0,-2,-5.1659
Male,120k - 150k,175 - 180,Yes,They conflict,Sometimes,"Yes, I have both",At least once a week,Always,No,0,1,-2,1,0,2,-2,1,0,-2,2,-2,0,-2,0,1,0,0,-2,0,-1,2,0,0,1,0,0,-1,0,0,1,-6.13675
Male,150k - 200k,175 - 180,Yes,They conflict,Never,No,At least once a week,Always,Yes,-2,2,0,-2,0,0,-1,1,1,-1,0,-2,0,1,1,-2,2,1,1,1,0,0,0,2,-2,0,1,-2,2,1,0,7.59498
Male,10k - 15k,170 - 175,Yes,They conflict,Always,"Yes, I have both",At least once a week,Always,Yes,0,2,0,2,1,-1,-1,1,1,-2,-1,-1,-1,1,-1,1,2,1,-1,0,-2,2,1,-1,-1,2,1,-1,1,0,-1,-4.93169
Male,200k above,175 - 180,Yes,They complement each other,Rarely,"Yes, I have both",No,Rarely,No,0,-2,-1,0,-2,0,-1,-2,1,0,-2,-2,1,-2,-2,0,1,-2,1,0,-2,1,0,-2,0,1,0,0,0,1,0,15.2003
Female,0 - 10k,155 - 160,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a month,Always,Yes,1,2,-1,2,0,1,1,1,0,0,0,1,0,1,0,-1,0,0,0,0,0,1,1,1,1,1,0,-1,0,0,0,-12.9155
Male,0 - 10k,170 - 175,Yes,They are separate,Sometimes,No,No,Rarely,Yes,-2,1,0,-2,0,1,0,0,0,-1,-2,-1,-2,0,0,1,1,-2,-2,-2,-1,0,1,0,1,1,1,-1,1,-2,-2,-28.3703
Female,20k - 50k,155 - 160,Yes,They complement each other,Rarely,"Yes, I have both",No,Never,Yes,0,1,-2,1,-2,0,-2,-2,1,-2,0,2,-2,0,-2,-2,0,1,2,0,-2,-1,2,1,-2,-2,-2,0,0,0,1,18.4064
Male,150k - 200k,170 - 175,Yes,They are separate,Never,"Yes, I have family",At least once a month,Rarely,No,-2,2,0,0,-1,-2,-1,0,1,0,1,0,0,1,-1,-2,2,1,-2,1,-1,1,0,1,-2,1,1,-1,0,-2,-1,6.581
Male,0 - 10k,170 - 175,Yes,They complement each other,Rarely,"Yes, I have both",Rarely,Never,No,1,0,-1,-1,-1,0,0,0,1,0,0,2,0,0,0,0,1,-2,2,0,0,0,0,0,2,0,0,1,0,0,0,-10.7487
Male,120k - 150k,175 - 180,Yes,They are separate,Never,"Yes, I have both",At least once a week,Rarely,Yes,-2,2,-2,2,1,-2,0,1,2,0,0,2,-2,1,-1,0,0,1,-1,0,1,0,1,1,-1,1,1,-2,2,0,-1,4.15996
Female,20k - 50k,150 - 155,Yes,They conflict,Rarely,"Yes, I have both",At least once a month,Always,No,1,0,-1,0,0,0,-2,-2,0,0,1,-1,2,0,1,-2,1,0,0,-2,0,-2,0,1,-2,-2,1,1,0,2,1,14.405
Male,10k - 15k,165 - 170,Yes,They complement each other,Sometimes,"Yes, I have both",More than three times a week,Sometimes,Yes,-1,0,-1,-2,-2,0,-1,0,-2,-1,0,-1,0,-2,0,-1,1,-2,0,0,-2,0,0,-2,1,1,-2,1,0,1,-2,-7.75246
Male,50k - 80k,175 - 180,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Sometimes,Yes,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.16
Female,80k - 120k,160 - 165,Yes,They conflict,Rarely,No,Rarely,Always,No,1,1,0,1,0,1,0,0,1,1,-1,1,-1,1,0,0,-1,0,0,1,0,-1,1,0,0,1,1,0,1,1,0,26.5692
Male,80k - 120k,175 - 180,Yes,They are separate,Sometimes,"Yes, I have family",At least once a month,Sometimes,Yes,-2,1,2,0,-2,0,0,0,1,-1,-1,1,-2,0,1,0,0,-1,-1,-2,1,0,1,-2,0,0,-2,0,-2,-2,0,15.4786
Female,150k - 200k,150 - 155,Yes,They complement each other,Rarely,"Yes, I have friends",No,Always,Yes,-1,2,-2,-2,-2,1,-2,0,1,-1,-2,-2,-2,2,-1,-1,2,2,-1,2,0,2,1,1,0,2,1,0,0,-2,-1,11.2352
Male,0 - 10k,190 above,Yes,They conflict,Sometimes,"Yes, I have both",At least once a month,Never,Yes,-2,0,1,-1,0,2,-2,0,0,0,0,-1,1,-2,-2,1,0,0,0,0,-2,0,0,-2,-1,1,0,-2,1,0,-1,0.184982
Male,50k - 80k,170 - 175,Yes,They conflict,Rarely,"Yes, I have both",At least once a month,Rarely,Yes,1,1,1,1,-2,0,1,0,0,0,1,2,2,-2,2,-2,2,0,1,-2,0,0,0,1,2,-2,1,0,0,-2,0,9.50304
Female,15k - 20k,150 - 155,Yes,They conflict,Rarely,"Yes, I have family",More than three times a week,Always,Yes,-1,1,0,-2,0,0,-2,1,2,-1,0,1,0,1,-2,1,0,1,0,0,0,0,-2,1,-2,-2,0,0,0,1,-2,1.59857
Male,10k - 15k,165 - 170,Yes,They complement each other,Rarely,"Yes, I have both",Rarely,Sometimes,No,0,1,2,-2,1,0,-2,1,2,-1,-2,0,0,0,-1,1,1,2,2,-2,0,0,0,1,0,1,-2,1,1,2,-2,-5.48915
Female,150k - 200k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have family",At least once a week,Always,Yes,1,0,0,1,0,0,0,0,1,0,0,-2,0,0,1,-2,1,1,1,0,0,0,1,0,-2,0,-2,0,0,0,0,-0.617883
Male,15k - 20k,155 - 160,Yes,They complement each other,Rarely,"Yes, I have both",No,Always,No,0,1,-2,0,-2,-2,0,0,0,2,-1,2,2,1,-2,0,2,1,1,0,-2,2,0,0,0,0,0,1,1,1,-2,0.646357
Female,0 - 10k,140 - 150,Yes,They conflict,Sometimes,No,No,Rarely,No,-2,2,-1,-2,0,0,-2,-2,2,1,-1,0,2,1,-1,0,0,1,2,0,-1,1,1,0,2,0,0,0,0,2,2,-6.06467
Male,80k - 120k,175 - 180,Yes,They complement each other,Rarely,"Yes, I have family",Rarely,Sometimes,Yes,0,1,0,0,1,0,0,2,1,-2,0,-2,-2,0,0,-2,2,0,0,0,1,1,0,-2,-1,2,2,-2,2,0,0,18.3337
Male,200k above,185 - 190,Yes,They complement each other,Rarely,"Yes, I have both",No,Sometimes,No,-2,2,0,-1,0,-2,-2,0,1,0,0,-2,0,0,1,0,1,1,0,1,-2,1,1,0,-2,0,0,0,2,1,0,25.6521
Male,80k - 120k,190 above,Yes,They complement each other,Sometimes,"Yes, I have both",Rarely,Never,Yes,-1,1,0,-1,-1,1,-2,0,-2,-1,0,0,0,1,1,1,0,-2,1,0,1,0,0,0,-1,2,-2,-2,0,0,0,21.7113
Male,0 - 10k,170 - 175,Yes,They conflict,Sometimes,"Yes, I have family",At least once a week,Never,No,-1,1,0,0,0,-1,-2,0,0,-1,0,-1,2,0,0,0,2,1,-2,1,-1,0,2,1,0,-2,-2,0,0,0,-1,-0.0430352
Female,0 - 10k,155 - 160,Yes,They complement each other,Sometimes,No,At least once a month,Always,Yes,0,0,-2,-1,1,2,0,2,-2,1,-2,-1,1,0,-2,-2,1,-2,-2,-2,-1,0,1,1,-2,0,-2,-2,1,1,-1,-8.71567
Male,150k - 200k,170 - 175,Yes,They complement each other,Rarely,"Yes, I have both",No,Always,Yes,-2,1,-2,-2,0,0,-2,-2,0,-2,1,-2,-2,2,1,-2,1,0,1,-1,-2,-2,0,1,0,-2,0,1,0,0,2,-0.652865
Male,10k - 15k,180 - 185,Yes,They are separate,Sometimes,"Yes, I have both",At least once a week,Always,Yes,0,1,0,1,1,0,0,0,2,1,0,0,1,0,-1,0,1,2,1,1,-1,1,0,1,0,1,1,-1,1,1,-1,-3.07681
Male,10k - 15k,175 - 180,Yes,They complement each other,Rarely,"Yes, I have family",At least once a month,Rarely,Yes,0,0,2,2,0,0,1,2,2,1,0,1,0,0,2,1,1,2,1,2,-2,1,1,1,1,2,1,-1,1,1,-2,7.15831
Female,150k - 200k,150 - 155,Yes,They complement each other,Rarely,"Yes, I have both",At least once a week,Rarely,Yes,0,1,0,1,-2,2,1,0,1,-2,0,-2,0,0,0,1,1,2,-2,0,-1,0,1,0,-2,0,0,-1,0,0,0,-8.45662
Male,50k - 80k,165 - 170,No,They conflict,Rarely,"Yes, I have family",At least once a week,Sometimes,Yes,0,1,0,-1,1,0,1,0,1,0,2,1,2,0,0,-2,1,1,1,-1,-1,0,1,0,0,-2,1,1,-1,2,-2,12.957
Male,200k above,180 - 185,Yes,They complement each other,Sometimes,"Yes, I have friends",More than three times a week,Rarely,Yes,-1,2,0,0,0,0,-1,1,1,0,0,-1,0,2,-1,1,2,2,-1,2,-2,2,1,1,0,2,1,-2,1,1,-2,12.0218
Male,0 - 10k,160 - 165,Yes,They complement each other,Never,"Yes, I have both",At least once a week,Never,Yes,-1,0,0,1,-2,-1,-1,-2,1,-1,0,0,-2,-1,2,0,1,1,-2,0,0,2,0,-2,0,0,0,0,0,-2,1,-5.30062
Female,150k - 200k,180 - 185,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Rarely,Yes,0,1,0,0,-1,0,-2,-1,1,-2,-1,-2,-2,0,1,0,0,0,-2,-2,0,-2,-2,1,0,0,0,-1,-2,0,0,7.49688
Female,0 - 10k,140 - 150,Yes,They complement each other,Sometimes,"Yes, I have both",Rarely,Sometimes,Yes,-1,1,-1,-2,1,-1,-1,1,0,-2,0,0,0,1,-1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,-4.78044
Female,0 - 10k,155 - 160,Yes,They complement each other,Never,"Yes, I have both",At least once a month,Always,Yes,0,1,0,0,-2,2,-1,-2,2,-2,0,2,-2,0,-1,0,0,1,0,0,-1,0,0,1,1,0,2,-1,0,-2,1,-10.0258
Male,200k above,160 - 165,Yes,They are separate,Sometimes,"Yes, I have both",At least once a week,Never,No,-2,0,-2,-1,-2,2,-2,-2,-2,0,0,2,2,-2,0,0,0,1,2,0,1,-2,-2,-2,1,-2,-2,1,-2,0,2,7.46764
Male,80k - 120k,170 - 175,Yes,They complement each other,Never,"Yes, I have both",Rarely,Always,Yes,1,0,1,0,2,1,0,1,0,0,1,-2,0,0,2,-2,1,1,-2,-2,-2,0,1,0,-2,0,-2,1,1,1,-2,5.95559
Male,15k - 20k,155 - 160,Yes,They are separate,Never,"Yes, I have friends",At least once a week,Rarely,Yes,-2,0,1,1,-2,0,-2,2,0,-1,1,1,0,-1,2,0,0,-2,0,-2,2,0,1,1,2,-1,-2,2,0,-2,2,-4.48751
Female,0 - 10k,170 - 175,Yes,They are separate,Sometimes,No,At least once a month,Sometimes,No,0,2,-2,1,1,0,0,0,-2,1,1,1,-2,0,-2,-2,0,-2,0,0,1,1,1,-2,1,0,1,1,0,0,2,-9.0876
Male,150k - 200k,185 - 190,Yes,They conflict,Never,"Yes, I have both",More than three times a week,Never,Yes,-2,1,1,-2,-2,-2,-2,0,0,-1,-1,-1,-2,0,0,1,2,0,-2,-2,-2,2,1,0,-1,1,1,-1,1,1,-1,4.56627
Male,150k - 200k,140 - 150,Yes,They conflict,Sometimes,"Yes, I have friends",Rarely,Sometimes,Yes,1,1,1,-1,0,0,0,0,1,1,0,0,1,1,2,-2,0,1,2,0,0,-1,0,2,2,-2,-2,0,0,1,1,0.479775
Other,20k - 50k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have both",More than three times a week,Sometimes,Yes,0,0,1,-2,0,-2,-2,2,1,0,1,1,1,1,2,1,2,0,-2,-2,-2,1,1,0,1,1,-1,0,1,-2,1,6.14903
Male,150k - 200k,180 - 185,Yes,They conflict,Always,"Yes, I have family",No,Always,No,-1,2,-2,-2,0,1,-2,0,2,-2,2,1,1,0,-2,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,-2,0,16.4015
Male,0 - 10k,180 - 185,Yes,They complement each other,Rarely,"Yes, I have both",At least once a week,Never,Yes,0,1,2,-2,1,1,-2,1,1,-2,-2,-1,0,0,0,0,1,-2,0,-2,-2,1,0,0,0,-2,0,0,1,-2,1,0.430567
Male,0 - 10k,165 - 170,Yes,They are separate,Never,"Yes, I have family",At least once a month,Rarely,Yes,0,1,1,0,-2,2,-2,0,-2,-2,0,-2,-2,2,-1,0,1,1,-2,0,0,1,1,0,-2,1,1,-1,1,-2,1,-7.03107
Male,0 - 10k,175 - 180,Yes,They are separate,Always,"Yes, I have both",Rarely,Sometimes,Yes,2,1,0,0,1,0,2,0,0,-2,0,2,-1,1,1,-1,-1,-1,1,1,1,1,0,-1,0,-1,2,-1,0,-2,2,-24.2639
Male,120k - 150k,180 - 185,Yes,They are separate,Never,"Yes, I have both",More than three times a week,Sometimes,Yes,2,1,-1,-2,0,0,1,1,1,-2,-1,1,0,-1,0,-1,0,0,-2,-2,0,-1,-1,-2,2,0,0,1,1,0,-2,-7.40662
Male,120k - 150k,175 - 180,Yes,They are separate,Sometimes,"Yes, I have family",No,Never,Yes,0,0,1,-2,1,0,0,0,0,0,0,0,1,-2,-1,2,0,0,-2,-2,-1,0,-2,1,2,1,1,2,1,0,0,11.976
Male,0 - 10k,175 - 180,Yes,They complement each other,Never,"Yes, I have family",At least once a month,Never,No,2,0,0,0,1,1,-2,0,0,-2,-2,1,1,-2,0,-2,1,0,-2,-2,-1,0,0,0,1,-1,0,-2,-2,-2,0,-19.1719
Female,0 - 10k,165 - 170,Yes,They complement each other,Always,"Yes, I have both",At least once a week,Always,Yes,0,1,0,1,1,1,0,1,1,0,1,0,1,1,-1,0,1,1,0,1,-1,1,1,1,-1,1,1,-1,1,2,0,-6.21194
Female,20k - 50k,155 - 160,Yes,They conflict,Sometimes,No,No,Always,No,-2,1,1,0,0,0,-2,0,0,-2,-2,-2,0,1,-2,-2,1,0,1,0,2,0,1,1,1,0,2,1,1,0,-1,9.93367
Female,200k above,155 - 160,Yes,They are separate,Rarely,"Yes, I have family",No,Sometimes,Yes,0,0,-1,0,0,0,1,0,1,2,0,0,-2,0,1,1,1,1,0,1,-1,0,0,-1,0,1,1,0,1,1,1,6.18427
Female,15k - 20k,140 - 150,Yes,They are separate,Sometimes,"Yes, I have family",More than three times a week,Rarely,No,0,-1,0,-1,-1,0,-2,-2,-2,0,-2,0,1,0,0,1,2,0,1,0,0,-2,0,-2,2,1,-1,1,1,0,0,-5.16935
Male,0 - 10k,170 - 175,Yes,They complement each other,Rarely,No,At least once a month,Rarely,Yes,2,2,-2,0,1,0,-2,0,1,0,0,-2,2,0,-2,-2,0,0,-2,1,-1,2,0,1,0,-2,0,0,-2,2,0,-7.92175
Male,150k - 200k,180 - 185,Yes,They complement each other,Always,"Yes, I have both",More than three times a week,Never,Yes,-2,1,1,1,0,-2,-1,0,1,-2,-1,0,0,-2,-2,0,2,1,-1,0,0,0,0,0,0,-2,-2,0,0,0,-2,17.4284
Female,120k - 150k,170 - 175,Yes,They complement each other,Never,"Yes, I have both",No,Always,Yes,-2,2,-1,0,1,1,0,1,0,0,0,1,0,1,-1,-2,0,0,0,0,0,1,1,-2,1,1,-2,-1,1,-2,-1,-1.17088
Female,10k - 15k,155 - 160,Yes,They are separate,Rarely,"Yes, I have both",More than three times a week,Sometimes,No,1,0,1,-2,-1,1,0,-2,-2,-2,0,2,0,1,-2,0,0,0,1,1,1,0,0,0,1,-2,0,2,0,1,0,-16.122
Female,0 - 10k,160 - 165,Yes,They are separate,Always,"Yes, I have both",More than three times a week,Never,Yes,1,1,0,0,1,0,1,-2,2,0,0,1,0,0,-1,0,1,-2,0,1,0,1,1,0,1,1,2,0,2,-2,-1,-17.0255
Male,0 - 10k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have both",At least once a month,Never,Yes,-2,-2,0,1,1,-1,-2,0,1,0,-2,0,2,-1,-2,0,1,1,0,0,-1,0,0,1,0,0,1,-2,0,2,-1,-10.0849
Male,10k - 15k,165 - 170,Yes,They conflict,Rarely,"Yes, I have both",More than three times a week,Rarely,No,-1,1,-1,-2,-1,0,-2,0,0,-2,0,-2,0,1,-1,0,1,0,-2,1,-2,-2,0,1,0,0,0,0,1,0,0,-0.209215
Female,0 - 10k,165 - 170,Yes,They conflict,Rarely,No,More than three times a week,Rarely,Yes,0,1,0,1,2,-1,-2,2,1,-1,0,-2,1,1,1,-1,1,2,-2,1,-2,2,0,0,0,1,0,-1,1,0,0,-13.658
Female,0 - 10k,165 - 170,Yes,They are separate,Always,"Yes, I have both",More than three times a week,Always,No,1,1,-1,-1,0,-1,-1,-1,0,1,0,1,0,0,0,-1,1,0,1,0,-1,0,1,0,1,0,0,0,0,1,1,-11.5928
Female,80k - 120k,175 - 180,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a month,Always,Yes,0,1,0,0,1,-1,-2,1,2,0,0,1,0,1,1,1,2,0,1,1,-1,1,1,0,-1,2,1,2,2,1,0,34.8128
Male,15k - 20k,160 - 165,Yes,They complement each other,Rarely,No,More than three times a week,Sometimes,Yes,-2,1,0,1,1,-2,-1,0,1,-2,-1,1,-2,0,-2,-2,0,0,-2,0,-2,0,1,-2,0,0,2,-1,0,0,0,2.41046
Male,150k - 200k,170 - 175,No,They complement each other,Sometimes,"Yes, I have both",Rarely,Never,Yes,1,1,-1,-2,-2,1,0,1,-2,0,-1,0,0,0,1,0,0,-2,2,-1,0,-2,-2,-2,2,0,0,2,1,0,0,-13.8293
Male,0 - 10k,180 - 185,Yes,They conflict,Rarely,"Yes, I have family",More than three times a week,Sometimes,Yes,-1,-2,-2,-1,2,0,-1,1,-2,0,0,-1,0,0,-1,-2,2,0,-2,-2,-2,1,-2,-2,1,2,-2,-2,1,1,1,2.45963
Other,0 - 10k,175 - 180,Yes,They complement each other,Rarely,"Yes, I have family",No,Rarely,Yes,2,-2,-1,1,0,1,1,-2,0,0,-2,1,1,-2,1,-1,1,0,0,0,0,-1,0,0,1,-2,0,2,0,1,0,-6.4565
Female,0 - 10k,160 - 165,Yes,They conflict,Always,"Yes, I have both",More than three times a week,Sometimes,Yes,-1,1,-1,1,1,-1,-1,0,0,0,-1,-1,1,1,-1,0,1,1,-1,0,-1,2,1,1,-1,1,1,-1,1,1,-1,-4.25632
Female,0 - 10k,165 - 170,Yes,They complement each other,Never,"Yes, I have family",More than three times a week,Never,Yes,-2,1,-2,0,0,-1,-1,-2,1,1,1,2,0,1,-1,2,0,1,-2,0,-1,2,1,0,-2,2,2,0,1,1,0,-10.986
Male,0 - 10k,170 - 175,Yes,They complement each other,Always,"Yes, I have both",At least once a month,Always,Yes,1,1,0,0,0,1,-2,1,1,-1,-1,-1,0,0,-1,0,1,0,1,0,-1,0,0,1,-1,1,2,0,1,0,0,-10.6628
Male,0 - 10k,165 - 170,Yes,They complement each other,Sometimes,"Yes, I have family",Rarely,Always,Yes,-1,0,-1,0,-2,1,-2,0,0,0,1,0,-2,0,-1,-2,1,0,1,0,-2,1,0,-1,0,2,-2,-2,1,0,-1,-14.2762
Female,200k above,160 - 165,Yes,They complement each other,Sometimes,"Yes, I have both",More than three times a week,Rarely,Yes,-1,1,1,0,1,-2,-1,1,0,-1,0,0,0,0,-1,0,1,2,-2,0,-2,1,1,1,2,2,0,1,1,1,-1,30.3105
Male,15k - 20k,160 - 165,Yes,They conflict,Always,"Yes, I have both",At least once a week,Never,Yes,-1,1,1,0,2,-2,-1,1,0,-1,-2,-2,0,1,-2,1,2,0,-2,1,-1,1,1,1,-1,1,1,-2,2,2,-1,18.9522
Male,120k - 150k,175 - 180,Yes,They complement each other,Rarely,No,No,Sometimes,Yes,0,1,1,1,2,-2,0,2,1,0,-2,2,1,-2,-2,0,0,1,1,0,-2,-2,1,-2,1,2,0,2,1,1,0,-0.898275
Male,15k - 20k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have family",At least once a week,Always,No,1,-2,0,0,-1,0,0,0,1,-1,-1,-2,0,0,-2,-2,2,0,0,1,0,-2,0,0,-2,2,1,-2,1,-1,0,-17.1976
Female,50k - 80k,160 - 165,Yes,They are separate,Always,"Yes, I have both",At least once a week,Always,Yes,-2,1,1,1,1,0,-2,2,1,1,0,2,0,2,-2,2,1,1,0,1,0,2,2,2,2,1,1,-2,2,0,-2,14.7175
Female,120k - 150k,140 - 150,Yes,They conflict,Never,"Yes, I have both",At least once a month,Sometimes,No,-2,2,2,-2,1,1,-2,2,2,-1,2,-1,1,1,-1,2,1,2,-1,1,0,2,1,1,-1,1,1,2,1,2,1,-5.6086
Male,120k - 150k,170 - 175,Yes,They conflict,Sometimes,"Yes, I have both",More than three times a week,Always,Yes,-1,-2,1,0,2,0,-1,1,1,-2,-2,-1,1,1,-1,1,2,1,0,1,-2,1,1,-2,0,2,-2,-2,2,1,1,10.5027
Male,10k - 15k,170 - 175,Yes,They are separate,Never,"Yes, I have family",No,Never,No,1,0,-2,-1,-1,-2,1,-1,1,0,-2,1,-2,-2,0,-1,1,1,1,0,0,-2,0,0,2,-2,-2,2,-2,0,2,-16.6166
Male,20k - 50k,175 - 180,Yes,They are separate,Sometimes,"Yes, I have family",Rarely,Always,Yes,0,0,1,-2,-2,1,-2,0,-2,0,2,-1,0,1,2,-1,2,0,0,1,-1,-2,0,1,0,1,0,-1,1,0,-1,5.55325
Female,0 - 10k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have friends",Rarely,Sometimes,Yes,0,2,-2,0,1,-1,-1,0,0,1,0,-1,-2,0,0,0,0,0,-2,2,-2,1,2,-2,-1,1,-2,-2,1,0,-1,-16.2268
Male,20k - 50k,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have friends",At least once a week,Never,Yes,-1,1,-1,-2,-2,0,-1,-2,0,-2,0,-1,2,0,2,-2,1,0,1,0,-1,-2,0,2,-2,0,-2,-1,0,0,0,16.5301
Female,200k above,160 - 165,Yes,They complement each other,Never,"Yes, I have family",At least once a month,Always,Yes,-1,1,0,0,2,0,-1,0,2,-2,1,-1,1,0,-1,0,1,2,1,1,0,1,2,1,-1,1,0,0,1,1,-2,13.4104
Male,0 - 10k,175 - 180,Yes,They are separate,Always,"Yes, I have both",At least once a week,Sometimes,Yes,1,2,1,1,1,-1,-2,2,1,-1,1,1,1,1,-1,1,1,1,-1,1,-1,2,2,1,1,1,1,0,2,1,-1,-9.39157
Female,0 - 10k,155 - 160,Yes,They are separate,Rarely,"Yes, I have family",At least once a week,Sometimes,Yes,2,1,1,0,1,0,1,2,0,-1,1,-1,0,1,-1,1,1,0,-2,0,-2,2,1,0,1,-2,1,0,1,0,0,-18.8835
Male,80k - 120k,160 - 165,Yes,They complement each other,Never,No,At least once a month,Never,No,0,2,2,-2,0,1,0,2,1,-1,-2,1,1,2,1,1,1,0,-1,-2,-1,1,2,2,2,0,0,-2,0,0,-2,15.1318
Male,10k - 15k,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have family",At least once a month,Always,Yes,0,1,1,1,1,0,-2,1,2,-2,1,-1,1,1,-2,1,2,1,-1,1,-1,2,1,1,0,1,1,-1,1,1,-1,-4.2797
Male,15k - 20k,165 - 170,Yes,They complement each other,Rarely,"Yes, I have both",At least once a week,Always,No,-2,2,1,2,0,-2,-1,1,0,-1,0,1,1,0,0,0,1,-2,0,1,-2,-2,2,2,-1,1,1,-1,1,0,-2,3.37211
Male,10k - 15k,160 - 165,Yes,They are separate,Sometimes,"Yes, I have both",At least once a month,Never,Yes,0,1,0,0,-2,0,-1,0,1,-2,1,-1,0,1,-1,0,2,0,-2,0,-1,2,0,-2,-2,0,1,-1,1,0,0,-1.68356
Female,0 - 10k,170 - 175,Yes,They complement each other,Never,"Yes, I have both",More than three times a week,Sometimes,Yes,1,1,-2,2,1,-2,1,1,2,1,1,-1,1,0,-1,0,1,-2,0,0,0,2,-2,0,0,0,0,-2,0,0,-2,-10.3428
Male,20k - 50k,170 - 175,Yes,They complement each other,Rarely,No,More than three times a week,Rarely,Yes,1,0,2,1,0,0,1,1,0,1,2,2,0,1,0,1,0,-2,0,-2,-1,1,0,-1,-2,2,1,-1,0,0,2,10.0462
Male,15k - 20k,155 - 160,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Never,No,0,0,-1,-2,-2,1,1,0,0,0,0,1,-2,0,1,-2,0,-2,0,-2,0,0,1,0,0,0,0,-2,-2,0,0,-11.6307
